Gene,GSM3574340,GSM3574341,GSM3574342,GSM3574343,GSM3574344,GSM3574345,GSM3574346,GSM3574347,GSM3574348,GSM3574349,GSM3574350,GSM3574351,GSM3574352,GSM3574353,GSM3574354,GSM3574355,Symbol
Rpl27al7,13.6619,4.35983,4.27944,6.49146,9.13968,5.46598,33.5525,0,3.57491,1.93089,1.9312,0,0,0,6.63495,0,Rpl27al7
Sms-ps2,0,0,0,0,0,1.95226,0,0,1.77223,3.14048,4.69806,0,0,0,1.82975,0,Sms-ps2
Loc103690878,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,LOC103690878
Timm23b,0,3.42977,0,0,0,1.756,0,0,0,0,0,0,0,0,0,1.66599,Timm23b
Spin2a,6,4.16483,2.0978,10,9,2.11781,0,4,4.20218,4.20864,0,4,3,5,2.10438,0,Spin2a
Cacna2d3,17,25,6,27,19,24,6,4,23,19,3,5,6,1,12,0,Cacna2d3
Trappc3l,1,2,3,0,3,1,0,6,2,2,1,4,0,0,0,0,Trappc3l
Hdlbpl2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Hdlbpl2
Mcpt1l3,0,1,0,0,2,2,0,0,0,0,0,0,2,2,1.03108,0,Mcpt1l3
Zfp804b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Zfp804b
Ptgdrl1,1,1,0,0,0,2.25755,0,0,3.09079,0,0,0,0,0,0,0,Ptgdrl1
Tnfrsf1a,611,613,247,756,499,1870,468,302,1537,529,171,121,166,193,377,75,Tnfrsf1a
Rpl31l2,2.00731,0,0,0,0,2.01091,0,0,0,0,0,0,0,0,0,0,Rpl31l2
Rpl36al1,2569.63,2667.17,1239.54,4054.33,1783.58,3391.27,1894.47,1215.52,3148.39,2271.91,852.42,799.766,1133.71,1338.12,2271.44,303.023,Rpl36al1
Atp5mc1l2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Atp5mc1l2
Abi1,1437.995,1389.998,1204.0001,2104.0009,2028.0044,1899.996,651,1386.9964,1497.001,2064.9969,1381.0006,1449.00058,1319.0031,1324,1035.0005,265.9999,Abi1
Zfp110,1127,1101,821,1604,1268,1350,872,842,1493,1337,663,567,800,784,1019,265,Zfp110
Fpr3,3,2,8,25,18,1,0,17,6,1,6,1,4,6,2,0,Fpr3
Ankrd37,41,49,11,72,22,87,21,31,74,56,9,8,11,13,25,2,Ankrd37
Ift22,21,40,14,38,30,96,33,17,78,38,11,5,6,17,18,4,Ift22
Tmem232,2,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,Tmem232
Rplp0l1,0,0,0,0,0,0,2.00049,0,2.00028,0,0,0,0,0,0,0,Rplp0l1
Kif1c,6104,8022,2122,6155,4856,28199,4441,2597,26204,6073,677,539,859,1459,2840,657,Kif1c
Hprt1,3777.43,3886.32,3632.89,7686.8,5319.47,5175.6,2243.51,4165.93,3792.46,5000.73,3295.05,3070.79,3353.24,4347.24,3873.84,788.025,Hprt1
Loc120100784,151.505,103.498,35.0404,101.043,80.2505,183.906,103.458,23.3465,144.074,87.2771,23.3868,9.53335,21.9793,44.7685,107.595,32.8401,LOC120100784
Wfdc9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wfdc9
Rpl8l1,1.76155,0,0,0,2.14286,17.0956,0,0,6.98836,1.78541,0,0,0,0,1.85389,0,Rpl8l1
Cirbp,299,392,127,321,224,1058,174,136,811,287,59,64,64,76,118,30,Cirbp
Ceacam16,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Ceacam16
Stk32b,10,7,1,3,0,6,0,1,28.99997,5,2,2,1,0,8,0,Stk32b
Mab21l2,2,3,1,2,0,9,0,4,5,6,4,1,1,5,1,0,Mab21l2
Hps3,378,397,281,494,447,416,240,264,401,482,272,257,249,347,286,58,Hps3
Cfap92,0,1,0,1,2,0,3,5,2,2,0,0,0,0,0,0,Cfap92
Hyal2,303,338,59.000011604,276.00023568,143,1164,121.000000569829,78.000006696,1448.003,260.0005,39,21.000033216,38.999968547,70.0000000152164,157.00008847,36,Hyal2
Eif1a,859.0002,792.0002,645.0003,1067,928.9999,1060.9999,332.0003,651.9996,839.9996,1089.9999,609.0004,603.9999,628.00027,621.9997,613,111,Eif1a
Krt39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Krt39
Or8b56g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Or8b56g
Cdca8,39,40,19,61,21,72,44,15,52,24,15,9,10,10,14,0,Cdca8
Slurp2,0,0,0,0,2,1,0,0,3,2,1,0,0,0,0,0,Slurp2
Spata19,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,Spata19
Nova1,66,77,37,87,70,102,9,41.99998,61,61.00004,42.00003,49.00001,49.00001,53.00002,56,30,Nova1
Havcr2,10,6,5,25,20,19,4,8,14,2,8,4,7,2,7,0,Havcr2
Stpg1,2,5,0,1,1,6,9,2,5,0,1,0,0,3,2,0,Stpg1
Golga6l9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Golga6l9
Manbal,480,475,216,606,358,1224,289,233,1057,410,123,94,110,178,245,75,Manbal
Znf8,244,227,153,358,242,274,137,156,273,266,151,127,132,166,155,12,Znf8
Prss47,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,Prss47
Glb1l3,22,24,5,13,15,11,14,3,4,21,3,10,1,1,0,0,Glb1l3
Rps19l1,3.33676,0,0,0,0,0,0,0,3.55348,0,0,0,0,0,0,0,Rps19l1
Col16a1,75,109,17,79,69,1033,90,19,944,59,12,8,11,24,40,23,Col16a1
Zfp663,11,8,1,5,5,9,0,0,9,2,1,0,1,7,3,0,Zfp663
Hdlbp,9361.003,10117.003,4722.0003,10244.0028,7338.9979,14379.994,4695.0062,4532.9985,11820.998,8808.0046,2095.9993,1759.9998,2503.0078,3538.0005,4655.0063,895.9992,Hdlbp
Dpp3,370,367,76,360,217,1042,196,118,913,228,48,18,63,64,157,19,Dpp3
Ascl4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Ascl4
Armh1,0,5,0,1,1,13,9,0,11,2,0,2,0,1,5,0,Armh1
Tmem170b,54,52,85,58,122,129,37,46,98,91,71,73,54,64,56,11,Tmem170b
Or11m3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Or11m3
Loc120102993,983.246,1154.91,224.609,990.878,671.257,7382.77,1079.58,339.165,6168.65,841.365,106.538,67.6173,129.811,158.4,532.657,60.9337,LOC120102993
Klra2,301.2052,294.126,219.7428,479.1563,384.3442,387.7483,200.3124,224.4988,339.2157,401.1743,268.4761,216.385,275.5037,266.1653,208.051,39.96096,Klra2
Rpl27l1,1.11261,1.21987,0,2.47202,1.19323,2.37123,0,2.52652,1.33416,0,0,0,0,0,2.52738,0,Rpl27l1
Cldn24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cldn24
Cyp2b12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cyp2b12
Loc120097172,0,2.24524,0,1.03548,1.3096,4.45838,3.89857,0,6.40901,2.43608,0,0,0,0,0,0,LOC120097172
Dcaf12l2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dcaf12l2
Rhox8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Rhox8
Ptgdr,8,10,3,7,12,9.74245,0,1,20.9092,7,2,2,2,2,7,0,Ptgdr
Syndig1,63,97,38,148,64,114,25,49,98,72,10,5,15,41,37,0,Syndig1
Loc100362384,0,5.92192,0,0,0,13.2264,0,1.65124,12.8859,0,0,0,0,0,0,0,LOC100362384
Larp1,910,992,488,742,774,2206,656,396,1931,903,219,178,256,298,543,132,Larp1
Samt2l2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Samt2l2
H2az1-ps2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,H2az1-ps2
Zfp648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Zfp648
Zfp455,205.5663,167.9618,167.8336,358.604,291.371,195.074,77.3719,165.412,154.4416,244.444,224.978,219.6413,184.6996,222.892,150.7907,26.6782,Zfp455
Rps24-ps15,298.443,307.879,98.6822,332.128,140.197,204.08,60.3247,108.516,233.46,219.151,61.1164,37.3194,53.015,42.8202,225.836,23.0384,Rps24-ps15
Loc120101650,1.00015,0,0,0,0,1.00063,0,0,0,0,0,0,0,1,2.00041,0,LOC120101650
Nanos3,2,3,0,4,0,7,0,2,6,1,0,0,0,0,0,0,Nanos3
Stmnd1,6,7,0,7,9,4,0,0,1,0,0,0,2,2,0,0,Stmnd1
Atp8b4,96,80,75,101,95,181,52,69,85,82,53,41,47,51,81,26.00005,Atp8b4
Rt1-o1l1,1.18916,44.471,3.30924,4.75883,4.76728,20.4673,27.71,2.30312,32.41496,15.8187,0,0,0,2.21178,3.6831,0,RT1-O1l1
Gls2,71,61,22,84,47,99,50,11,114,68,11,12,8,24,42,4,Gls2
Rtl4,2,2,2,4,3,4,0,1,0,4,0,0,3,0,3,0,Rtl4
Dchs1,477,566,133,405,335,2850,366,149,2046,302,40,35,41,63,205,24,Dchs1
Or5b12b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Or5b12b
Mix23,940,820,796,1858,978,930,591,819,746,1013,783,867,807,742,682,91,Mix23
Six6os1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Six6os1
Ccnh,1107,1124,1177,2493,1569,1362,482,1271,965,1602,1017,1127,1118,1304,991,235,Ccnh
Zfp839,41,54,25,70.00002,45.000042,173.0004,33.0000064,14,151.99993,65,12,11.999961,20.99997,21,22,8,Zfp839
Slc6a5,0,0,0,0,0,3.0000000240252,0,0,0,2.0000000107402,0,0,0,0,0,0,Slc6a5
Ace2,228,212.000022,240,345,277.0002885,221.00000797043,104,204,184.0002,217,111,128,111,170,91.99999,37,Ace2
Lpp,94,125,66,41,124,388,69,41,251,116,32,33,55,48,74,6,Lpp
Rasgef1a,1,0,1,0,1,6,5,0,4,2,2,0,2,1,0,0,Rasgef1a
Panx3,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,Panx3
Or7a44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Or7a44
Trim15,11,11,4,19,6,19,20,3,12,9,8,3,6,6,4,7,Trim15
Rpl35al6,4.44822,3.31697,1.09123,8.89567,7.18537,2.22498,1.19975,1.19197,5.46853,1.10537,1.13063,1.12962,2.24146,1.11147,4.52572,0,Rpl35al6
Map3k5,659.0002,772.000000274581,474,796,757,1518.996,531,542,1770,963,181,189,303,451,678,182,Map3k5
Tpi1l2,256.797,324.568,41.3375,149.184,104.563,1046.98,183.3,71.3107,803.139,133.199,3.65252,6.43619,12.9837,21.7868,126.764,12.5891,Tpi1l2
Tuba3a,0,1.48319,0,0,0,3.73994,0,0,3,0,0,0,0,0,0,0,Tuba3a
Ppfibp1,6204.004,7089,4964.001,9102.001,7832.998,10551,3734.996,5092.998,9345,8569.995,3903.996,3736.002,3896.005,5156.999,5155.003,887.0002,Ppfibp1
Ecm2,1125.93,1260.789,817.7768,1771.491,1397.8025,1572.080023307,834.005,846.027,1356.4315,1715.352,810.3504437,863.824,989.993,1053.009,1053.84498034,250.2664,Ecm2
Ppp4r3cl2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ppp4r3cl2
Dnajc30,328,282,227,569,223,575,155,211,427,301,128,104,160,148,165,46,Dnajc30
Oas1e,3,1,0,0,0,0,1,1,4,3,1,0,5.000001,0,0,0,Oas1e
Eloc,1328.6185,1229.84164,1000.308,2263.9607,1414.669,1407.6091,582.587,996.54484,969.047,1537.864,882.203,885.1552,947.365,1096.89237,830.676,194.2683,Eloc
Fam216a,323,337,154,447,304,401,151,191,351,284,119,128,123,202,210,43,Fam216a
Rpl27al6,12.8681,9.73511,6.22962,13.0426,17.3825,12.8471,0,11.7072,20.4342,7.53672,1.09685,4.45607,3.37383,10.7679,7.64917,0,Rpl27al6
Garin5a,6,9,1,2,2,55,7,2,36,5,0,1,1,2,2,0,Garin5a
Gbp2,2419,1166,1010,2759,1919,1742,1159,1219,2035.62,1583.69,1260,402,804,889,839.214,262,Gbp2
Fmn1,434.44391,336.0273,258.5057,295.21734,455.087,578.39468,152.6814,181.8101,321.95757,397.6124,120.24618,73.3388,126.3087,151.9177,292.318,43,Fmn1
Or1l4b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Or1l4b
Cytb,1160620,1325040,1134180,2017360,1288280,1295300,720642,944529,1078060,1568890,654723,756707,869350,1002140,905167,155994,CYTB
Cngb1,8.01024,11,8,11.02393,16.0125,15.01877,3,2,18.02676,6.01324,3,9.01546,5.00281,5,3.00543,3,Cngb1
Mef2d,469,527,119,303,367,2960,561,179,3142,490,45,55,77,111,306,93,Mef2d
Ltf,2,2.00503,1.00537,0,2.00994,1.00466,1,0,0,2,0,0,0,1,0,0,Ltf
Col6a4,2,1,1,2,3,11,0,1,10,2,3,0,0,0,0,0,Col6a4
Krt76,22.00002,19.00005,3,27.99996,5,25,11,0,29.00005,6,4,1,0,0,3,0,Krt76
Rangap1,270,301,69,285.332,170,985.573,173.0001,86,810,245,37.00004,19,54.2474,60,121.917,34.99997,Rangap1
Mcpt3,6,4,3,14.34462,6,9,2,7,14,7,2,2,1,5,8.27116,0,Mcpt3
Ephb3,13.0284,15.3044,2.00413,14.1416,12.0204,126.158,6.01179,7.00328,125.742,14.0403,4.00723,3.00393,3.05645,2.05149,18.1802,0,Ephb3
Or12k7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Or12k7
Krt36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Krt36
Or8u3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Or8u3
Sort1,1544,1924,917,1628,1621,3460,958,1146,3203,2080,631,608,700,1037,1442,290,Sort1
Nckipsd,67,85,36,80,42,375,78,24,326,47,13,5,16,16,50,35,Nckipsd
Wfdc6b,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Wfdc6b
Slc44a2,1757,2146,887,2327,1659,4767,1395,1006,4119,1840,508,423,571,778,1416,230,Slc44a2
Arih2,1507,1701,877,1953,1553,2827,744,906,2611,1836,535,543,561,781,1101,226,Arih2
Nkain4,15,14,3.99999670764,12.000000971124,3,67,6,6.999998,64,9,2.999998,0,2.0000000942805,7,10,3,Nkain4
Andpro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Andpro
Armh4,15,11,6,8,7,34,0,3,8,26,4,5,3,2,11,0,Armh4
Ndufa4l2,106,98,21,115,53,571,91,34,563,73,15,7,9,23,48,11,Ndufa4l2
Lsamp,312.0004,304.0005,164,378.9999,327.0003,777,161.9997,187.9995,599,265.0004,118,124,156,192,266,39,Lsamp
Actr3b,295,331,315,494,439,797,304,381,825,520,249,287,272,333,443,89,Actr3b
Rpl27al3,0,0,0,1.0059,1.01018,1.00351,0,0,0,1.0039,0,0,0,0,0,0,Rpl27al3
Btf3-ps1,1316.48,1264.32,961.206,2575.86,1661.5,2373.51,1000.01,1246.22,1842.52,1626.33,827.426,829.139,846.307,1179.18,1099.01,175.432,Btf3-ps1
Rpl6-ps1,763.727,776.118,256.83,910.921,397.724,1427.8,534.573,435.09,1175.54,658.997,190.557,137.952,195.633,280.598,550.028,69.0938,Rpl6-ps1
Ncam1,247.10771,313.5443,130.748875219,259.100421239,171.80225,678.762,140.1846,113.4388,388.2342,239.981,98.4998,59.36210768815,90.5694685,114.8997,127.5292,17.2183308,Ncam1
Stt3a,3392.2235,2617.2866,2063.2783,4170.257,3369.6894,3598.1753,1411.3776,2346.96639,2356.3638,3308.141,1236.8908,1382.8222,1830.6395,1768.4482,1805.9171,329.4122,Stt3a
Hdac10,64,70,12,54,51,313,37,17,252,58,8,5,13,16,45,5,Hdac10
Timeless,103.845,90.8964,34.8821604,139.36,67.9186,181.1651,57.2684,63.20701,122.921,49.3352,27.1856,5.04346,25.4558,30.6782,48.2459,9,Timeless
Klk6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Klk6
Vom2r67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Vom2r67
Cela1,63,73,37,97,40,182,48,20,184,55,20,12,15,28,47,6,Cela1
Enah,2101.996,1979,1179,1924.999,1676,2304,969,1019,2009.996,1802.999,836,737,880,1150,1071,197.0001,Enah
Or10d4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Or10d4
Rpl36l3,0,0,0,0,0,3.95452,0,0,3.85927,0,0,0,0,0,0,0,Rpl36l3
Izumo4,15,28,5,26,9,67,20,12,46,6,3,0,4,6,10,0,Izumo4
Calml3,6,8,5,6,3,7,6,6,20,9,8,2,3,3,5,0,Calml3
Cldn34c4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Cldn34c4
Loc102548369,0,0,0,1.01357,1.02624,2.01031,0,0,0,0,0,0,0,0,0,0,LOC102548369
Impdh2,1818,1935,633,2207,1280,3464,1171,748,3153,1628,418,291,487,744,1395,188,Impdh2
Prss42,0,2.03867,0,0,1.04534,1.01553,1.00381,5.09126,4.08526,1.03333,0,0,1.04495,1.03665,0,0,Prss42
Pcdh10,9074.9982,11636.04741,1933.99826,4800,13073.00963,4028.99707,4038,4992.0009,3932.99601,3590.00438,3340.00261,3119,2769,4120,10684.97149,1806,Pcdh10
Atp6,1223550,1299410,1549260,2446210,1808350,1421800,694597,1304690,1081140,2092370,1269470,1543830,1373150,1471570,1221190,227332,ATP6
Prim1,493.862,465.036,399.852,747.529,570.743,439.88,321.023,304.349,403.653,523.484,250.393,292.75,268.932,298.556,255.09,92.0343,Prim1
Smim15,1073,1075,867,1630.002,1445.004,1326.999,428,890,1019,1535.005,877,888,870,1030,848,147,Smim15
Ttll7,412,406.9996,260,472.9999,484.9999,616,154,264,461,470,197.0001,154.9998,220.9995,267,270.0002,21,Ttll7
Hapln1,208.00006,114,164.99977,148.99982,155,177.91946,66.99996,89,117.0004,242,106.00033,126,120,76,82.00001,9,Hapln1
Cyp2b21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cyp2b21
Spmip2,0,3,0,4,1,3,15,0,3,1,1,1,2,0,0,0,Spmip2
Fignl2,0,0,0,0,0,9,0,0,8,0,0,0,0,0,0,0,Fignl2
Tmem42,261,288,91,265,181,649,125,110,587,189,48,49,33,86,181,19,Tmem42
Supt5h,1233.0003,1390.0002,395.0004,1182,908.0005,4202.007,959.9998,504.0001,3630.9969,1108.9992,176.027800142455,137.99997,280.999917,367.000025015,825.0003,157.0000036,Supt5h
Atp9b,643,773,494,801,741,1436.004,502,463,1251.999,869,282.0005,290.0004,367.0002,411,524,146,Atp9b
Zfta,569,561,300,802,642,1068,299,355,867,656,214,161,218,246,292,99,Zfta
Zfp462,291.093,268.727,145.809,280.581,271.728,505.999,182.232,131.862,290.638,283.06,100.926,75.7051,115.777,138.557,123.362,12.0961,Zfp462
Pogk,1644.3281,1705.0671,979.2356,2140.484,1547.3545,1855.079,964.758,965.2802,1467.369,1495.7511,599.2475,498.9795,735.6317,835.3999,890.6883,188.18861,Pogk
Rpl36al2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rpl36Al2
Gfral,1,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,Gfral
Dync2h1,287,329,251,343,415,447,150,303,356,397,184,182,178,242,263,6,Dync2h1
Or6aa1b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Or6aa1b
Dlec1,4,0,0,2,0,3,0,0,1,2,0,0,0,1,1,0,Dlec1
Defb38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Defb38
Morc1,9,15,10,25,8,17,5,4,7,12,6,6,1,2,10,14,Morc1
Or12k7b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Or12k7b
